Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (GO)	PubMed ID	Kinetics	pH dependence	Redox potential	Site	EC number	Activity regulation	Active site	Binding site	Catalytic activity
I7FA35	reviewed	MIMC_MYCS2	Propane 2-monooxygenase, hydroxylase component small subunit (EC 1.14.13.227) (Acetone 1-monooxygenase) (Methylethylketone 1-monooxygenase) (Phenol 4-monooxygenase)	mimC MSMEG_1973 MSMEI_1929	Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) (Mycobacterium smegmatis)	368	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]	17295914; 18955433; 21183637; 21856847; 23892738; 23171424; 26293913					1.14.13.227				CATALYTIC ACTIVITY: Reaction=H(+) + NADH + O2 + propane = H2O + NAD(+) + propan-2-ol; Xref=Rhea:RHEA:49992, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:15379, ChEBI:CHEBI:17824, ChEBI:CHEBI:32879, ChEBI:CHEBI:57540, ChEBI:CHEBI:57945; EC=1.14.13.227; Evidence={ECO:0000305|PubMed:21183637}; CATALYTIC ACTIVITY: Reaction=acetone + H(+) + NADH + O2 = H2O + hydroxyacetone + NAD(+); Xref=Rhea:RHEA:55788, ChEBI:CHEBI:15347, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:15379, ChEBI:CHEBI:27957, ChEBI:CHEBI:57540, ChEBI:CHEBI:57945; Evidence={ECO:0000269|PubMed:26293913}; CATALYTIC ACTIVITY: Reaction=butan-2-one + H(+) + NADH + O2 = 1-hydroxy-2-butanone + H2O + NAD(+); Xref=Rhea:RHEA:55792, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:15379, ChEBI:CHEBI:28398, ChEBI:CHEBI:57540, ChEBI:CHEBI:57945, ChEBI:CHEBI:88390; Evidence={ECO:0000269|PubMed:26293913}; CATALYTIC ACTIVITY: Reaction=H(+) + NADH + O2 + phenol = H2O + hydroquinone + NAD(+); Xref=Rhea:RHEA:55796, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:15379, ChEBI:CHEBI:15882, ChEBI:CHEBI:17594, ChEBI:CHEBI:57540, ChEBI:CHEBI:57945; Evidence={ECO:0000269|PubMed:23171424, ECO:0000269|PubMed:23892738, ECO:0000305|PubMed:21183637};
P18798	reviewed	MEMB_METCA	Methane monooxygenase component A beta chain (EC 1.14.13.25) (Methane hydroxylase)	mmoY MCA1195	Methylococcus capsulatus (strain ATCC 33009 / NCIMB 11132 / Bath)	389	methane monooxygenase NADH activity [GO:0106317]; methane monooxygenase NADPH activity [GO:0106318]; cellular aromatic compound metabolic process [GO:0006725]; one-carbon metabolic process [GO:0006730]	2505721; 15383840; 8255292					1.14.13.25				CATALYTIC ACTIVITY: Reaction=H(+) + methane + NADH + O2 = H2O + methanol + NAD(+); Xref=Rhea:RHEA:13637, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:15379, ChEBI:CHEBI:16183, ChEBI:CHEBI:17790, ChEBI:CHEBI:57540, ChEBI:CHEBI:57945; EC=1.14.13.25; CATALYTIC ACTIVITY: Reaction=H(+) + methane + NADPH + O2 = H2O + methanol + NADP(+); Xref=Rhea:RHEA:13641, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:15379, ChEBI:CHEBI:16183, ChEBI:CHEBI:17790, ChEBI:CHEBI:57783, ChEBI:CHEBI:58349; EC=1.14.13.25;
P19730	reviewed	DMPL_PSEUF	Phenol 2-monooxygenase, oxygenase component DmpL (EC 1.14.13.244) (Phenol 2-monooxygenase P1 component) (Phenol hydroxylase P1 protein)	dmpL pheA2	Pseudomonas sp. (strain CF600)	331	extrachromosomal circular DNA [GO:0005727]; phenol 2-monooxygenase activity [GO:0018662]; aerobic phenol-containing compound catabolic process [GO:0046191]	2254258; 2254259; 8995386; 12186554					1.14.13.244	ACTIVITY REGULATION: Requires DmpM for efficient turnover. The activity of DmpLNO oxygenase is inhibited by dithiothreitol (DTT) by a mechanism apparently involving H(2)O(2) generation. {ECO:0000269|PubMed:12186554}.			CATALYTIC ACTIVITY: Reaction=H(+) + NADH + O2 + phenol = catechol + H2O + NAD(+); Xref=Rhea:RHEA:57952, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:15379, ChEBI:CHEBI:15882, ChEBI:CHEBI:18135, ChEBI:CHEBI:57540, ChEBI:CHEBI:57945; EC=1.14.13.244; Evidence={ECO:0000269|PubMed:2254259}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:57953; Evidence={ECO:0000269|PubMed:2254259};
P22868	reviewed	MMOC_METCA	Methane monooxygenase component C (EC 1.14.13.25) (Methane hydroxylase) (Methane monooxygenase reductase) (MMOR)	mmoC MCA1200	Methylococcus capsulatus (strain ATCC 33009 / NCIMB 11132 / Bath)	348	2 iron, 2 sulfur cluster binding [GO:0051537]; flavin adenine dinucleotide binding [GO:0050660]; metal ion binding [GO:0046872]; methane monooxygenase NADH activity [GO:0106317]; methane monooxygenase NADPH activity [GO:0106318]; one-carbon metabolic process [GO:0006730]	2205538; 15383840; 11772001					1.14.13.25			BINDING 42; /ligand="[2Fe-2S] cluster"; /ligand_id="ChEBI:CHEBI:190135"; BINDING 47; /ligand="[2Fe-2S] cluster"; /ligand_id="ChEBI:CHEBI:190135"; BINDING 50; /ligand="[2Fe-2S] cluster"; /ligand_id="ChEBI:CHEBI:190135"; BINDING 82; /ligand="[2Fe-2S] cluster"; /ligand_id="ChEBI:CHEBI:190135"; BINDING 221..235; /ligand="FAD"; /ligand_id="ChEBI:CHEBI:57692"; /evidence="ECO:0000250"	CATALYTIC ACTIVITY: Reaction=H(+) + methane + NADH + O2 = H2O + methanol + NAD(+); Xref=Rhea:RHEA:13637, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:15379, ChEBI:CHEBI:16183, ChEBI:CHEBI:17790, ChEBI:CHEBI:57540, ChEBI:CHEBI:57945; EC=1.14.13.25; CATALYTIC ACTIVITY: Reaction=H(+) + methane + NADPH + O2 = H2O + methanol + NADP(+); Xref=Rhea:RHEA:13641, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:15379, ChEBI:CHEBI:16183, ChEBI:CHEBI:17790, ChEBI:CHEBI:57783, ChEBI:CHEBI:58349; EC=1.14.13.25;
Q00460	reviewed	TMOE_PSEME	Toluene-4-monooxygenase system, hydroxylase component subunit beta (T4MO) (EC 1.14.13.236) (Toluene-4-monooxygenase hydroxylase subunit) (T4moH) (Toluene-4-monooxygenase system protein E) (T4moE)	tmoE	Pseudomonas mendocina	327	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; toluene catabolic process [GO:0042203]	1885512; 15240250; 2019563; 19033467; 19290655; 19705873; 22264099; 25248368; 28346937		BIOPHYSICOCHEMICAL PROPERTIES:  pH dependence: Optimum pH is 6.8. {ECO:0000269|PubMed:2019563};			1.14.13.236	ACTIVITY REGULATION: Inhibited by Zn(2+) and Cu(2+). {ECO:0000269|PubMed:2019563}.			CATALYTIC ACTIVITY: Reaction=H(+) + NADH + O2 + toluene = 4-methylphenol + H2O + NAD(+); Xref=Rhea:RHEA:41380, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:15379, ChEBI:CHEBI:17578, ChEBI:CHEBI:17847, ChEBI:CHEBI:57540, ChEBI:CHEBI:57945; EC=1.14.13.236; Evidence={ECO:0000269|PubMed:15240250, ECO:0000269|PubMed:19290655, ECO:0000269|PubMed:19705873, ECO:0000305|PubMed:2019563};
Q53563	reviewed	MMOC_METTR	Methane monooxygenase component C (EC 1.14.13.25) (Methane hydroxylase) (Methane monooxygenase reductase) (MMOR)	mmoC	Methylosinus trichosporium	340	2 iron, 2 sulfur cluster binding [GO:0051537]; metal ion binding [GO:0046872]; methane monooxygenase NADH activity [GO:0106317]; methane monooxygenase NADPH activity [GO:0106318]; one-carbon metabolic process [GO:0006730]	1785954; 1845980					1.14.13.25			BINDING 37; /ligand="[2Fe-2S] cluster"; /ligand_id="ChEBI:CHEBI:190135"; BINDING 41; /ligand="[2Fe-2S] cluster"; /ligand_id="ChEBI:CHEBI:190135"; BINDING 44; /ligand="[2Fe-2S] cluster"; /ligand_id="ChEBI:CHEBI:190135"; BINDING 76; /ligand="[2Fe-2S] cluster"; /ligand_id="ChEBI:CHEBI:190135"; BINDING 215..229; /ligand="FAD"; /ligand_id="ChEBI:CHEBI:57692"; /evidence="ECO:0000250"	CATALYTIC ACTIVITY: Reaction=H(+) + methane + NADH + O2 = H2O + methanol + NAD(+); Xref=Rhea:RHEA:13637, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:15379, ChEBI:CHEBI:16183, ChEBI:CHEBI:17790, ChEBI:CHEBI:57540, ChEBI:CHEBI:57945; EC=1.14.13.25; CATALYTIC ACTIVITY: Reaction=H(+) + methane + NADPH + O2 = H2O + methanol + NADP(+); Xref=Rhea:RHEA:13641, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:15379, ChEBI:CHEBI:16183, ChEBI:CHEBI:17790, ChEBI:CHEBI:57783, ChEBI:CHEBI:58349; EC=1.14.13.25;
E9RFT1	reviewed	MIMC_MYCGD	Propane 2-monooxygenase, hydroxylase component small subunit (EC 1.14.13.227) (Acetone 1-monooxygenase) (Methylethylketone 1-monooxygenase) (Phenol 4-monooxygenase)	mimC	Mycobacterium goodii (Mycolicibacterium goodii)	368	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]	21183637; 21856847; 23171424; 26293913					1.14.13.227				CATALYTIC ACTIVITY: Reaction=H(+) + NADH + O2 + propane = H2O + NAD(+) + propan-2-ol; Xref=Rhea:RHEA:49992, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:15379, ChEBI:CHEBI:17824, ChEBI:CHEBI:32879, ChEBI:CHEBI:57540, ChEBI:CHEBI:57945; EC=1.14.13.227; Evidence={ECO:0000305|PubMed:21183637}; CATALYTIC ACTIVITY: Reaction=acetone + H(+) + NADH + O2 = H2O + hydroxyacetone + NAD(+); Xref=Rhea:RHEA:55788, ChEBI:CHEBI:15347, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:15379, ChEBI:CHEBI:27957, ChEBI:CHEBI:57540, ChEBI:CHEBI:57945; Evidence={ECO:0000269|PubMed:26293913}; CATALYTIC ACTIVITY: Reaction=butan-2-one + H(+) + NADH + O2 = 1-hydroxy-2-butanone + H2O + NAD(+); Xref=Rhea:RHEA:55792, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:15379, ChEBI:CHEBI:28398, ChEBI:CHEBI:57540, ChEBI:CHEBI:57945, ChEBI:CHEBI:88390; Evidence={ECO:0000269|PubMed:26293913}; CATALYTIC ACTIVITY: Reaction=H(+) + NADH + O2 + phenol = H2O + hydroquinone + NAD(+); Xref=Rhea:RHEA:55796, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:15379, ChEBI:CHEBI:15882, ChEBI:CHEBI:17594, ChEBI:CHEBI:57540, ChEBI:CHEBI:57945; Evidence={ECO:0000269|PubMed:23171424, ECO:0000305|PubMed:21183637};
P27354	reviewed	MEMB_METTR	Methane monooxygenase component A beta chain (EC 1.14.13.25) (Methane hydroxylase)	mmoY	Methylosinus trichosporium	394	methane monooxygenase NADH activity [GO:0106317]; methane monooxygenase NADPH activity [GO:0106318]; cellular aromatic compound metabolic process [GO:0006725]; one-carbon metabolic process [GO:0006730]	1904125; 1845980					1.14.13.25				CATALYTIC ACTIVITY: Reaction=H(+) + methane + NADH + O2 = H2O + methanol + NAD(+); Xref=Rhea:RHEA:13637, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:15379, ChEBI:CHEBI:16183, ChEBI:CHEBI:17790, ChEBI:CHEBI:57540, ChEBI:CHEBI:57945; EC=1.14.13.25; CATALYTIC ACTIVITY: Reaction=H(+) + methane + NADPH + O2 = H2O + methanol + NADP(+); Xref=Rhea:RHEA:13641, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:15379, ChEBI:CHEBI:16183, ChEBI:CHEBI:17790, ChEBI:CHEBI:57783, ChEBI:CHEBI:58349; EC=1.14.13.25;
P27356	reviewed	MMOB_METTR	Methane monooxygenase regulatory protein B	mmoB	Methylosinus trichosporium	138	monooxygenase activity [GO:0004497]; cellular aromatic compound metabolic process [GO:0006725]	1904125; 1845980; 10231531									
Q768T3	reviewed	PRMC_GORST	Propane 2-monooxygenase, hydroxylase component small subunit (Prm) (EC 1.14.13.227) (Phenol 4-monooxygenase)	prmC	Gordonia sp. (strain TY-5)	368	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]	14645271; 21183637; 23171424					1.14.13.227				CATALYTIC ACTIVITY: Reaction=H(+) + NADH + O2 + propane = H2O + NAD(+) + propan-2-ol; Xref=Rhea:RHEA:49992, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:15379, ChEBI:CHEBI:17824, ChEBI:CHEBI:32879, ChEBI:CHEBI:57540, ChEBI:CHEBI:57945; EC=1.14.13.227; Evidence={ECO:0000305|PubMed:14645271}; CATALYTIC ACTIVITY: Reaction=H(+) + NADH + O2 + phenol = H2O + hydroquinone + NAD(+); Xref=Rhea:RHEA:55796, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:15379, ChEBI:CHEBI:15882, ChEBI:CHEBI:17594, ChEBI:CHEBI:57540, ChEBI:CHEBI:57945; Evidence={ECO:0000305|PubMed:21183637};
Q7WTJ6	reviewed	DMPL_ACICP	Phenol 2-monooxygenase, oxygenase component MhpL (EC 1.14.13.244) (Phenol 2-monooxygenase P1 component) (Phenol hydroxylase P1 protein)	mphL BDGL_000474	Acinetobacter calcoaceticus (strain PHEA-2)	332	phenol 2-monooxygenase activity [GO:0018662]; aerobic phenol-containing compound catabolic process [GO:0046191]	12732969; 21441526					1.14.13.244				CATALYTIC ACTIVITY: Reaction=H(+) + NADH + O2 + phenol = catechol + H2O + NAD(+); Xref=Rhea:RHEA:57952, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:15379, ChEBI:CHEBI:15882, ChEBI:CHEBI:18135, ChEBI:CHEBI:57540, ChEBI:CHEBI:57945; EC=1.14.13.244; Evidence={ECO:0000250|UniProtKB:P19730}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:57953; Evidence={ECO:0000250|UniProtKB:P19730};
Q9ZET3	reviewed	XAMOE_XANP2	Alkene monooxygenase system, oxygenase component subunit beta (EC 1.14.13.69)	xamoE aamE Xaut_4861	Xanthobacter autotrophicus (strain ATCC BAA-1158 / Py2)	341	cytoplasm [GO:0005737]; alkene monooxygenase activity [GO:0018645]; cellular aromatic compound metabolic process [GO:0006725]	10103255; 1444418; 8572713; 9312093					1.14.13.69	ACTIVITY REGULATION: Inhibited by propyne. {ECO:0000269|PubMed:1444418}.			CATALYTIC ACTIVITY: Reaction=H(+) + NADH + O2 + propene = 1,2-epoxypropane + H2O + NAD(+); Xref=Rhea:RHEA:11792, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:15379, ChEBI:CHEBI:16052, ChEBI:CHEBI:38685, ChEBI:CHEBI:57540, ChEBI:CHEBI:57945; EC=1.14.13.69; Evidence={ECO:0000269|PubMed:1444418, ECO:0000269|PubMed:9312093};
A0A143QIK3	unreviewed	A0A143QIK3_RHOFA	propane 2-monooxygenase (EC 1.14.13.227)	mmoY A3Q41_01277	Rhodococcus fascians	374	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]	27284129					1.14.13.227				CATALYTIC ACTIVITY: Reaction=H(+) + NADH + O2 + propane = H2O + NAD(+) + propan-2-ol; Xref=Rhea:RHEA:49992, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:15379, ChEBI:CHEBI:17824, ChEBI:CHEBI:32879, ChEBI:CHEBI:57540, ChEBI:CHEBI:57945; EC=1.14.13.227; Evidence={ECO:0000256|ARBA:ARBA00001272};
A0A165LQQ2	unreviewed	A0A165LQQ2_RHOFA	propane 2-monooxygenase (EC 1.14.13.227)	mmoY A3L23_02106	Rhodococcus fascians D188	374	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]	27284129					1.14.13.227				CATALYTIC ACTIVITY: Reaction=H(+) + NADH + O2 + propane = H2O + NAD(+) + propan-2-ol; Xref=Rhea:RHEA:49992, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:15379, ChEBI:CHEBI:17824, ChEBI:CHEBI:32879, ChEBI:CHEBI:57540, ChEBI:CHEBI:57945; EC=1.14.13.227; Evidence={ECO:0000256|ARBA:ARBA00001272};
A0A1G8S9I9	unreviewed	A0A1G8S9I9_9PSEU	propane 2-monooxygenase (EC 1.14.13.227)	SAMN04488074_101913	Lentzea albidocapillata subsp. violacea	370	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]						1.14.13.227				CATALYTIC ACTIVITY: Reaction=H(+) + NADH + O2 + propane = H2O + NAD(+) + propan-2-ol; Xref=Rhea:RHEA:49992, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:15379, ChEBI:CHEBI:17824, ChEBI:CHEBI:32879, ChEBI:CHEBI:57540, ChEBI:CHEBI:57945; EC=1.14.13.227; Evidence={ECO:0000256|ARBA:ARBA00001272};
A0A1H2LVS2	unreviewed	A0A1H2LVS2_9ACTN	propane 2-monooxygenase (EC 1.14.13.227)	SAMN04488548_136937	Gordonia westfalica	372	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]						1.14.13.227				CATALYTIC ACTIVITY: Reaction=H(+) + NADH + O2 + propane = H2O + NAD(+) + propan-2-ol; Xref=Rhea:RHEA:49992, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:15379, ChEBI:CHEBI:17824, ChEBI:CHEBI:32879, ChEBI:CHEBI:57540, ChEBI:CHEBI:57945; EC=1.14.13.227; Evidence={ECO:0000256|ARBA:ARBA00001272};
A0A1Q9UWY6	unreviewed	A0A1Q9UWY6_9ACTN	propane 2-monooxygenase (EC 1.14.13.227)	BJF87_09315	Gordonia sp. CNJ-863	372	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]	27902408					1.14.13.227				CATALYTIC ACTIVITY: Reaction=H(+) + NADH + O2 + propane = H2O + NAD(+) + propan-2-ol; Xref=Rhea:RHEA:49992, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:15379, ChEBI:CHEBI:17824, ChEBI:CHEBI:32879, ChEBI:CHEBI:57540, ChEBI:CHEBI:57945; EC=1.14.13.227; Evidence={ECO:0000256|ARBA:ARBA00001272};
A0A222TMU9	unreviewed	A0A222TMU9_GORRU	propane 2-monooxygenase (EC 1.14.13.227)	mmoY GCWB2_18390 H3V45_22965 HGA04_25960	Gordonia rubripertincta (Rhodococcus corallinus)	372	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]						1.14.13.227				CATALYTIC ACTIVITY: Reaction=H(+) + NADH + O2 + propane = H2O + NAD(+) + propan-2-ol; Xref=Rhea:RHEA:49992, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:15379, ChEBI:CHEBI:17824, ChEBI:CHEBI:32879, ChEBI:CHEBI:57540, ChEBI:CHEBI:57945; EC=1.14.13.227; Evidence={ECO:0000256|ARBA:ARBA00001272};
A0A243Q5U1	unreviewed	A0A243Q5U1_9ACTN	propane 2-monooxygenase (EC 1.14.13.227)	CA982_20315	Gordonia lacunae	372	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]						1.14.13.227				CATALYTIC ACTIVITY: Reaction=H(+) + NADH + O2 + propane = H2O + NAD(+) + propan-2-ol; Xref=Rhea:RHEA:49992, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:15379, ChEBI:CHEBI:17824, ChEBI:CHEBI:32879, ChEBI:CHEBI:57540, ChEBI:CHEBI:57945; EC=1.14.13.227; Evidence={ECO:0000256|ARBA:ARBA00001272};
A0A260BQQ3	unreviewed	A0A260BQQ3_9NOCA	propane 2-monooxygenase (EC 1.14.13.227)	CH281_09645	Rhodococcus sp. 06-221-2	374	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]						1.14.13.227				CATALYTIC ACTIVITY: Reaction=H(+) + NADH + O2 + propane = H2O + NAD(+) + propan-2-ol; Xref=Rhea:RHEA:49992, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:15379, ChEBI:CHEBI:17824, ChEBI:CHEBI:32879, ChEBI:CHEBI:57540, ChEBI:CHEBI:57945; EC=1.14.13.227; Evidence={ECO:0000256|ARBA:ARBA00001272};
