refseq_id	taxid	name	Original_query_taxid	kingdom	phylum	class	order	family	genus	species
WP_013075550.1	33943	Kyrpidia tusciae	33943	<not present>	Bacillota	Bacilli	Bacillales	Alicyclobacillaceae	Kyrpidia	Kyrpidia tusciae
ORW96926.1	1788	Mycolicibacter terrae	1788	<not present>	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Mycolicibacter	Mycolicibacter terrae
ODV04741.1	1660132	Pseudonocardia sp. SCN 73-27	1660132	<not present>	Actinomycetota	Actinomycetes	Pseudonocardiales	Pseudonocardiaceae	Pseudonocardia	Pseudonocardia sp. SCN 73-27
TMC94224.1	2026724	Chloroflexota bacterium	2026724	<not present>	Chloroflexota	<not present>	<not present>	<not present>	<not present>	Chloroflexota bacterium
TMC94224.1	2026724	Chloroflexota bacterium	2026724	<not present>	Chloroflexota	<not present>	<not present>	<not present>	<not present>	Chloroflexota bacterium
TMD95229.1	2026724	Chloroflexota bacterium	2026724	<not present>	Chloroflexota	<not present>	<not present>	<not present>	<not present>	Chloroflexota bacterium
TMD95229.1	2026724	Chloroflexota bacterium	2026724	<not present>	Chloroflexota	<not present>	<not present>	<not present>	<not present>	Chloroflexota bacterium
WP_134211723.1	417367	Paenisporosarcina antarctica	417367	<not present>	Bacillota	Bacilli	Bacillales	Planococcaceae	Paenisporosarcina	Paenisporosarcina antarctica
AEJ41334.1	1051632	Sulfobacillus acidophilus TPY	1051632	<not present>	Bacillota	Clostridia	Eubacteriales	Clostridiales Family XVII. Incertae Sedis	Sulfobacillus	Sulfobacillus acidophilus
WP_035988373.1	75105	Paraburkholderia caribensis	75105	<not present>	Pseudomonadota	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Paraburkholderia	Paraburkholderia caribensis
WP_048862299.1	50715	Acidisphaera rubrifaciens	50715	<not present>	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acidisphaera	Acidisphaera rubrifaciens
WP_012386302.1	533	Beijerinckia indica	533	<not present>	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Beijerinckiaceae	Beijerinckia	Beijerinckia indica
WP_044434593.1	393310	Skermanella aerolata	393310	<not present>	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Azospirillaceae	Skermanella	Skermanella aerolata
WP_044434593.1	393310	Skermanella aerolata	393310	<not present>	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Azospirillaceae	Skermanella	Skermanella aerolata
WP_044435962.1	393310	Skermanella aerolata	393310	<not present>	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Azospirillaceae	Skermanella	Skermanella aerolata
WP_044435962.1	393310	Skermanella aerolata	393310	<not present>	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Azospirillaceae	Skermanella	Skermanella aerolata
QCY50162.1	211455	uncultured Pseudonocardia sp.	211455	<not present>	Actinomycetota	Actinomycetes	Pseudonocardiales	Pseudonocardiaceae	Pseudonocardia	uncultured Pseudonocardia sp.
TMM16568.1	2900548	Actinomycetota bacterium	2900548	<not present>	Actinomycetota	<not present>	<not present>	<not present>	<not present>	Actinomycetota bacterium
TMM16568.1	2900548	Actinomycetota bacterium	2900548	<not present>	Actinomycetota	<not present>	<not present>	<not present>	<not present>	Actinomycetota bacterium
TMM00089.1	2900548	Actinomycetota bacterium	2900548	<not present>	Actinomycetota	<not present>	<not present>	<not present>	<not present>	Actinomycetota bacterium
TMM00089.1	2900548	Actinomycetota bacterium	2900548	<not present>	Actinomycetota	<not present>	<not present>	<not present>	<not present>	Actinomycetota bacterium
WP_107568211.1	2133960	Paraconexibacter algicola	2133960	<not present>	Actinomycetota	Thermoleophilia	Solirubrobacterales	Paraconexibacteraceae	Paraconexibacter	Paraconexibacter algicola
WP_014805422.1	1800	Mycolicibacterium chubuense	1800	<not present>	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Mycolicibacterium	Mycolicibacterium chubuense
BAA07114.1	36822	Gordonia rubripertincta	36822	<not present>	Actinomycetota	Actinomycetes	Mycobacteriales	Gordoniaceae	Gordonia	Gordonia rubripertincta
BBD49902.1	1199097	Alteromonadaceae bacterium PE-TB08W	1199097	<not present>	Pseudomonadota	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	<not present>	Alteromonadaceae bacterium PE-TB08W
WP_066884131.1	1469144	Carbonactinospora thermoautotrophica	1469144	<not present>	Actinomycetota	Actinomycetes	Kitasatosporales	Carbonactinosporaceae	Carbonactinospora	Carbonactinospora thermoautotrophica
WP_132191191.1	2644121	unclassified Kribbella	2644121	<not present>	Actinomycetota	Actinomycetes	Propionibacteriales	Kribbellaceae	Kribbella	<not present>
