TITLE	COMPND	SOURCE	NAME	cluster_label
ALPHAFOLD MONOMER V2.0 PREDICTION FOR UNCHARACTERIZED PROTEIN,2 ISOFORM D (M9PJS6)	MOL_ID: 1;2 MOLECULE: UNCHARACTERIZED PROTEIN, ISOFORM D;3 CHAIN: A	MOL_ID: 1;2 ORGANISM_SCIENTIFIC: DROSOPHILA MELANOGASTER;3 ORGANISM_TAXID: 7227	UNCHARACTERIZED PROTEIN, ISOFORM D	16
ALPHAFOLD MONOMER V2.0 PREDICTION FOR HAMP DOMAIN-CONTAINING PROTEIN2 (A0A349ZTK6)	MOL_ID: 1;2 MOLECULE: HAMP DOMAIN-CONTAINING PROTEIN;3 CHAIN: A	MOL_ID: 1;2 ORGANISM_SCIENTIFIC: LACHNOSPIRACEAE BACTERIUM;3 ORGANISM_TAXID: 1898203	HAMP DOMAIN-CONTAINING PROTEIN	17
ALPHAFOLD MONOMER V2.0 PREDICTION FOR RIBONUCLEOSIDE-DIPHOSPHATE2 REDUCTASE SUBUNIT BETA (A0A6P2VT32)	MOL_ID: 1;2 MOLECULE: RIBONUCLEOSIDE-DIPHOSPHATE REDUCTASE SUBUNIT BETA;3 CHAIN: A	MOL_ID: 1;2 ORGANISM_SCIENTIFIC: BURKHOLDERIA LATA (STRAIN ATCC 17760 / DSM 230893 / LMG 22485 / NCIMB 9086 / R18194 / 383);4 ORGANISM_TAXID: 482957	RIBONUCLEOSIDE-DIPHOSPHATE REDUCTASE SUBUNIT BETA	1
ALPHAFOLD MONOMER V2.0 PREDICTION FOR PHENYLACETIC ACID DEGRADATION2 PROTEIN (W9FSF8)	MOL_ID: 1;2 MOLECULE: PHENYLACETIC ACID DEGRADATION PROTEIN;3 CHAIN: A	MOL_ID: 1;2 ORGANISM_SCIENTIFIC: STREPTOMYCES FILAMENTOSUS NRRL 11379;3 ORGANISM_TAXID: 457430	PHENYLACETIC ACID DEGRADATION PROTEIN	16
ALPHAFOLD MONOMER V2.0 PREDICTION FOR PHENYLACETATE-COA OXYGENASE,2 PAAI SUBUNIT (K6QE35)	MOL_ID: 1;2 MOLECULE: PHENYLACETATE-COA OXYGENASE, PAAI SUBUNIT;3 CHAIN: A	MOL_ID: 1;2 ORGANISM_SCIENTIFIC: THERMAEROBACTER SUBTERRANEUS DSM 13965;3 ORGANISM_TAXID: 867903	PHENYLACETATE-COA OXYGENASE, PAAI SUBUNIT	6
ALPHAFOLD MONOMER V2.0 PREDICTION FOR RIBONUCLEOSIDE-DIPHOSPHATE2 REDUCTASE BETA CHAIN (A0A1N7N7E9)	MOL_ID: 1;2 MOLECULE: RIBONUCLEOSIDE-DIPHOSPHATE REDUCTASE BETA CHAIN;3 CHAIN: A	MOL_ID: 1;2 ORGANISM_SCIENTIFIC: ALICYCLOBACILLUS VULCANALIS;3 ORGANISM_TAXID: 252246	RIBONUCLEOSIDE-DIPHOSPHATE REDUCTASE BETA CHAIN	1
ALPHAFOLD MONOMER V2.0 PREDICTION FOR RIBONUCLEOTIDE REDUCTASE2 REGULATORY SUBUNIT M2 (A0A674MUQ0)	MOL_ID: 1;2 MOLECULE: RIBONUCLEOTIDE REDUCTASE REGULATORY SUBUNIT M2;3 CHAIN: A	MOL_ID: 1;2 ORGANISM_SCIENTIFIC: TAKIFUGU RUBRIPES;3 ORGANISM_TAXID: 31033	RIBONUCLEOTIDE REDUCTASE REGULATORY SUBUNIT M2	14
ALPHAFOLD MONOMER V2.0 PREDICTION FOR ACYL-COA DEHYDROGENASE2 (A0A1C4WYW4)	MOL_ID: 1;2 MOLECULE: ACYL-COA DEHYDROGENASE;3 CHAIN: A	MOL_ID: 1;2 ORGANISM_SCIENTIFIC: MICROMONOSPORA VIRIDIFACIENS;3 ORGANISM_TAXID: 1881	ACYL-COA DEHYDROGENASE	16
ALPHAFOLD MONOMER V2.0 PREDICTION FOR MFS TRANSPORTER (A0A4Q4CUE0)	MOL_ID: 1;2 MOLECULE: MFS TRANSPORTER;3 CHAIN: A	MOL_ID: 1;2 ORGANISM_SCIENTIFIC: ACTINOMYCETALES BACTERIUM;3 ORGANISM_TAXID: 1911520	MFS TRANSPORTER	16
ALPHAFOLD MONOMER V2.0 PREDICTION FOR PHENYLACETATE-COA OXYGENASE2 SUBUNIT PAAI (A0A2G6HDD4)	MOL_ID: 1;2 MOLECULE: PHENYLACETATE-COA OXYGENASE SUBUNIT PAAI;3 CHAIN: A	MOL_ID: 1;2 ORGANISM_SCIENTIFIC: ACTINOMYCETALES BACTERIUM;3 ORGANISM_TAXID: 1911520	PHENYLACETATE-COA OXYGENASE SUBUNIT PAAI	6
